trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,main.thisN,response_key,rt,Participant ID,Session,date,word,pleasure,arousal,dominance,face_model_sex,facial_expression,true_face_valence
123,AF24ANS.JPG,grusom_compressed.wav,negative,babble_36.wav,humor_reversed.wav,kujon_reversed.wav,4,4,1.882611989974976,50701,1,2025-11-28_11-12-15,grusom,22.335601,64.399093,48.072562,Female,Angry,"2,95"
93,AM19ANS.JPG,flirte_compressed.wav,positive,babble_95.wav,metal_reversed.wav,baby_reversed.wav,5,5,0.7014710903167725,50701,1,2025-11-28_11-12-15,flirte,85.260771,78.344671,70.748299,Male,Angry,"2,95"
171,AM23HAS.JPG,væmmes_compressed.wav,negative,babble_35.wav,tilfreds_reversed.wav,mester_reversed.wav,6,8,0.1973559856414795,50701,1,2025-11-28_11-12-15,væmmes,27.777778,61.451247,49.206349,Male,Happy,"5,67"
187,AF05HAS.JPG,smerte_compressed.wav,negative,babble_88.wav,kærtegn_reversed.wav,utro_reversed.wav,7,8,0.8538370132446289,50701,1,2025-11-28_11-12-15,smerte,24.14966,73.696145,42.063492,Female,Happy,"5,78"
34,AF30NES.JPG,heldig_compressed.wav,positive,babble_7.wav,taxa_reversed.wav,gave_reversed.wav,8,4,0.975167989730835,50701,1,2025-11-28_11-12-15,heldig,92.630385,74.036281,68.594104,Female,Neutral,"3,86"
31,AM34HAS.JPG,SILENCE,no-prime,babble_85.wav,utro_reversed.wav,salat_reversed.wav,9,8,1.1326401233673096,50701,1,2025-11-28_11-12-15,SILENCE,,,,Male,Happy,"5,50"
14,AM12ANS.JPG,affald_compressed.wav,negative,babble_58.wav,ferie_reversed.wav,ensom_reversed.wav,10,4,0.6755831241607666,50701,1,2025-11-28_11-12-15,affald,30.272109,47.165533,59.410431,Male,Angry,"2,66"
106,AF01NES.JPG,kærtegn_compressed.wav,positive,babble_71.wav,jubel_reversed.wav,genert_reversed.wav,11,5,0.3993549346923828,50701,1,2025-11-28_11-12-15,kærtegn,88.888889,58.276644,66.099773,Female,Neutral,"3,81"
23,AM05NES.JPG,bifald_compressed.wav,positive,babble_84.wav,maling_reversed.wav,dæmpet_reversed.wav,12,3,1.273953914642334,50701,1,2025-11-28_11-12-15,bifald,85.034014,65.759637,73.469388,Male,Neutral,"3,53"
193,AM22HAS.JPG,intim_compressed.wav,positive,babble_95.wav,gade_reversed.wav,tortur_reversed.wav,13,7,0.3193438053131103,50701,1,2025-11-28_11-12-15,intim,86.281179,79.138322,66.439909,Male,Happy,"6,11"
197,AM11ANS.JPG,ferie_compressed.wav,positive,babble_26.wav,genstand_reversed.wav,sikker_reversed.wav,14,3,0.6541171073913574,50701,1,2025-11-28_11-12-15,ferie,92.517007,63.945578,77.097506,Male,Angry,"2,47"
75,AF17HAS.JPG,engel_compressed.wav,positive,babble_95.wav,dæmpet_reversed.wav,maling_reversed.wav,15,8,1.914557933807373,50701,1,2025-11-28_11-12-15,engel,85.37415,54.761905,56.349206,Female,Happy,"6,18"
53,AM17ANS.JPG,rædsel_compressed.wav,negative,babble_75.wav,morder_reversed.wav,bygning_reversed.wav,16,5,2.78919005393982,50701,1,2025-11-28_11-12-15,rædsel,31.292517,81.746032,52.494331,Male,Angry,"1,68"
118,AF04ANS.JPG,brænde_compressed.wav,negative,babble_48.wav,misbrug_reversed.wav,lærer_reversed.wav,17,4,0.4952600002288818,50701,1,2025-11-28_11-12-15,brænde,30.952381,70.521542,47.845805,Female,Angry,"2,47"
120,AM28HAS.JPG,SILENCE,no-prime,babble_19.wav,ferie_reversed.wav,krise_reversed.wav,18,8,0.3102889060974121,50701,1,2025-11-28_11-12-15,SILENCE,,,,Male,Happy,"5,55"
133,AF35ANS.JPG,sikker_compressed.wav,positive,babble_1.wav,lyse_reversed.wav,hjerte_reversed.wav,19,4,0.8514330387115479,50701,1,2025-11-28_11-12-15,sikker,85.827664,35.600907,67.23356,Female,Angry,"2,76"
173,AF23ANS.JPG,fængsel_compressed.wav,negative,babble_17.wav,viden_reversed.wav,taxa_reversed.wav,20,3,0.5463409423828125,50701,1,2025-11-28_11-12-15,fængsel,23.24263,64.62585,47.619048,Female,Angry,"2,54"
65,AM19NES.JPG,væmmes_compressed.wav,negative,babble_38.wav,himlen_reversed.wav,tilfreds_reversed.wav,21,5,0.2413680553436279,50701,1,2025-11-28_11-12-15,væmmes,27.777778,61.451247,49.206349,Male,Neutral,"3,69"
163,AF32ANS.JPG,vindue_compressed.wav,neutral,babble_23.wav,misbrug_reversed.wav,baby_reversed.wav,22,3,0.3531498908996582,50701,1,2025-11-28_11-12-15,vindue,67.006803,45.011338,55.668934,Female,Angry,"3,31"
38,AF29HAS.JPG,SILENCE,no-prime,babble_54.wav,tortur_reversed.wav,nonne_reversed.wav,23,9,0.4618439674377441,50701,1,2025-11-28_11-12-15,SILENCE,,,,Female,Happy,"5,48"
144,AF31NES.JPG,vandal_compressed.wav,negative,babble_25.wav,ørken_reversed.wav,nedbrud_reversed.wav,24,6,0.9548850059509276,50701,1,2025-11-28_11-12-15,vandal,30.725624,72.562358,44.331066,Female,Neutral,"4,12"
181,AM34ANS.JPG,feber_compressed.wav,negative,babble_44.wav,pervers_reversed.wav,luksus_reversed.wav,25,4,1.24580979347229,50701,1,2025-11-28_11-12-15,feber,31.292517,48.639456,39.909297,Male,Angry,"2,69"
26,AM10NES.JPG,rotte_compressed.wav,negative,babble_8.wav,måned_reversed.wav,trofæ_reversed.wav,26,5,0.2690780162811279,50701,1,2025-11-28_11-12-15,rotte,34.240363,56.122449,51.587302,Male,Neutral,"3,89"
49,AF19NES.JPG,SILENCE,no-prime,babble_4.wav,djævel_reversed.wav,redning_reversed.wav,27,5,0.4893219470977783,50701,1,2025-11-28_11-12-15,SILENCE,,,,Female,Neutral,"3,64"
100,AM29ANS.JPG,ønske_compressed.wav,positive,babble_53.wav,sandhed_reversed.wav,mave_reversed.wav,28,1,0.4091942310333252,50701,1,2025-11-28_11-12-15,ønske,87.188209,83.333333,73.582766,Male,Angry,"1,67"
110,AF12NES.JPG,borddug_compressed.wav,neutral,babble_85.wav,glæde_reversed.wav,maling_reversed.wav,29,5,0.4246909618377685,50701,1,2025-11-28_11-12-15,borddug,55.895692,37.07483,56.122449,Female,Neutral,"3,47"
170,AM12HAS.JPG,baby_compressed.wav,positive,babble_6.wav,skammel_reversed.wav,oprørt_reversed.wav,30,9,0.2564959526062011,50701,1,2025-11-28_11-12-15,baby,93.197279,62.698413,56.689342,Male,Happy,"5,34"
121,AF06ANS.JPG,genert_compressed.wav,neutral,babble_36.wav,genert_reversed.wav,venlig_reversed.wav,31,2,0.5850629806518555,50701,1,2025-11-28_11-12-15,genert,52.60771,42.743764,39.002268,Female,Angry,"2,67"
108,AM17HAS.JPG,beundret_compressed.wav,positive,babble_83.wav,opstemt_reversed.wav,kærtegn_reversed.wav,32,9,0.6133759021759033,50701,1,2025-11-28_11-12-15,beundret,87.755102,69.274376,85.37415,Male,Happy,"5,39"
113,AM11HAS.JPG,spænding_compressed.wav,positive,babble_78.wav,regnbue_reversed.wav,kage_reversed.wav,33,9,0.1532959938049316,50701,1,2025-11-28_11-12-15,spænding,91.269841,90.929705,74.14966,Male,Happy,"5,82"
60,AM14NES.JPG,tilfreds_compressed.wav,positive,babble_79.wav,trussel_reversed.wav,accept_reversed.wav,34,6,0.8706250190734863,50701,1,2025-11-28_11-12-15,tilfreds,90.022676,56.00907,69.614512,Male,Neutral,"3,66"
175,AF33ANS.JPG,SILENCE,no-prime,babble_1.wav,beskidt_reversed.wav,kage_reversed.wav,35,1,0.7830479145050049,50701,1,2025-11-28_11-12-15,SILENCE,,,,Female,Angry,"3,55"
137,AF03HAS.JPG,oprør_compressed.wav,negative,babble_43.wav,rådden_reversed.wav,glæde_reversed.wav,36,6,0.5827229022979736,50701,1,2025-11-28_11-12-15,oprør,33.560091,72.44898,47.39229,Female,Happy,"5,09"
158,AM20NES.JPG,drukne_compressed.wav,negative,babble_81.wav,kærtegn_reversed.wav,lampe_reversed.wav,37,2,0.9795401096343994,50701,1,2025-11-28_11-12-15,drukne,21.768707,74.489796,32.426304,Male,Neutral,"3,00"
134,AM04HAS.JPG,forpint_compressed.wav,negative,babble_68.wav,metal_reversed.wav,baby_reversed.wav,38,9,0.3899061679840088,50701,1,2025-11-28_11-12-15,forpint,24.036281,60.430839,39.115646,Male,Happy,"5,80"
174,AF13ANS.JPG,SILENCE,no-prime,babble_82.wav,vandal_reversed.wav,kiste_reversed.wav,39,4,0.95349383354187,50701,1,2025-11-28_11-12-15,SILENCE,,,,Female,Angry,"2,29"
114,AF26HAS.JPG,skønhed_compressed.wav,positive,babble_74.wav,pervers_reversed.wav,talent_reversed.wav,40,8,0.381303071975708,50701,1,2025-11-28_11-12-15,skønhed,88.662132,56.122449,62.698413,Female,Happy,"5,92"
46,AM10ANS.JPG,udskud_compressed.wav,negative,babble_15.wav,djævel_reversed.wav,lærer_reversed.wav,41,6,2.1444339752197266,50701,1,2025-11-28_11-12-15,udskud,27.55102,55.328798,48.29932,Male,Angry,"1,87"
11,AF02NES.JPG,engel_compressed.wav,positive,babble_29.wav,taber_reversed.wav,kugle_reversed.wav,42,4,0.6403050422668457,50701,1,2025-11-28_11-12-15,engel,85.37415,54.761905,56.349206,Female,Neutral,"3,69"
19,AF08NES.JPG,hage_compressed.wav,neutral,babble_17.wav,offer_reversed.wav,banner_reversed.wav,43,4,0.5984971523284912,50701,1,2025-11-28_11-12-15,hage,59.977324,37.528345,59.637188,Female,Neutral,"3,56"
182,AF21HAS.JPG,forår_compressed.wav,positive,babble_69.wav,sæde_reversed.wav,ferie_reversed.wav,44,8,0.6017920970916748,50701,1,2025-11-28_11-12-15,forår,87.981859,64.285714,70.975057,Female,Happy,"5,77"
200,AM29NES.JPG,oprør_compressed.wav,negative,babble_24.wav,kontor_reversed.wav,spise_reversed.wav,45,5,0.3651390075683594,50701,1,2025-11-28_11-12-15,oprør,33.560091,72.44898,47.39229,Male,Neutral,"3,74"
117,AM09HAS.JPG,afvist_compressed.wav,negative,babble_18.wav,passion_reversed.wav,engel_reversed.wav,46,9,0.4814910888671875,50701,1,2025-11-28_11-12-15,afvist,17.006803,72.222222,30.839002,Male,Happy,"5,67"
107,AF21NES.JPG,SILENCE,no-prime,babble_0.wav,ketchup_reversed.wav,konge_reversed.wav,47,4,0.4004099369049072,50701,1,2025-11-28_11-12-15,SILENCE,,,,Female,Neutral,"3,67"
73,AF02ANS.JPG,kæle_compressed.wav,positive,babble_77.wav,banner_reversed.wav,kage_reversed.wav,48,5,0.4171619415283203,50701,1,2025-11-28_11-12-15,kæle,87.528345,49.886621,66.326531,Female,Angry,"2,67"
30,AF01HAS.JPG,SILENCE,no-prime,babble_43.wav,fase_reversed.wav,oprør_reversed.wav,49,7,0.6114420890808105,50701,1,2025-11-28_11-12-15,SILENCE,,,,Female,Happy,"5,81"
156,AF10NES.JPG,SILENCE,no-prime,babble_83.wav,cirkel_reversed.wav,spænding_reversed.wav,50,3,0.3673701286315918,50701,1,2025-11-28_11-12-15,SILENCE,,,,Female,Neutral,"3,18"
168,AM27ANS.JPG,SILENCE,no-prime,babble_94.wav,tilfreds_reversed.wav,metal_reversed.wav,51,4,0.1139240264892578,50701,1,2025-11-28_11-12-15,SILENCE,,,,Male,Angry,"3,00"
147,AF14HAS.JPG,rædsel_compressed.wav,negative,babble_82.wav,affald_reversed.wav,sexet_reversed.wav,52,7,0.2256369590759277,50701,1,2025-11-28_11-12-15,rædsel,31.292517,81.746032,52.494331,Female,Happy,"5,68"
150,AM11NES.JPG,accept_compressed.wav,positive,babble_40.wav,lyse_reversed.wav,utro_reversed.wav,53,5,0.3101718425750732,50701,1,2025-11-28_11-12-15,accept,90.47619,61.22449,75.283447,Male,Neutral,"3,92"
58,AM23ANS.JPG,rigdom_compressed.wav,positive,babble_79.wav,kujon_reversed.wav,vinde_reversed.wav,54,5,1.0678648948669434,50701,1,2025-11-28_11-12-15,rigdom,87.301587,69.954649,76.417234,Male,Angry,"2,49"
122,AM15ANS.JPG,brænde_compressed.wav,negative,babble_68.wav,sejre_reversed.wav,lærer_reversed.wav,55,5,0.4929280281066894,50701,1,2025-11-28_11-12-15,brænde,30.952381,70.521542,47.845805,Male,Angry,"2,08"
12,AF25ANS.JPG,bygning_compressed.wav,neutral,babble_31.wav,redning_reversed.wav,viden_reversed.wav,56,4,0.4448170661926269,50701,1,2025-11-28_11-12-15,bygning,59.977324,44.444444,59.52381,Female,Angry,"2,26"
142,AF10HAS.JPG,hage_compressed.wav,neutral,babble_72.wav,misbrug_reversed.wav,slagtning_reversed.wav,57,6,0.9177849292755128,50701,1,2025-11-28_11-12-15,hage,59.977324,37.528345,59.637188,Female,Happy,"5,34"
167,AF30ANS.JPG,humor_compressed.wav,positive,babble_20.wav,luksus_reversed.wav,gidsel_reversed.wav,58,4,1.0572841167449951,50701,1,2025-11-28_11-12-15,humor,97.052154,62.358277,68.93424,Female,Angry,"2,79"
9,AF20ANS.JPG,selvmord_compressed.wav,negative,babble_46.wav,fremskridt_reversed.wav,talent_reversed.wav,59,3,0.2477340698242187,50701,1,2025-11-28_11-12-15,selvmord,14.172336,64.965986,40.589569,Female,Angry,"2,28"
48,AF08HAS.JPG,gade_compressed.wav,neutral,babble_66.wav,vandfald_reversed.wav,lampe_reversed.wav,60,7,0.2098171710968017,50701,1,2025-11-28_11-12-15,gade,59.183673,38.435374,54.535147,Female,Happy,"5,29"
79,AM18ANS.JPG,papir_compressed.wav,neutral,babble_43.wav,diamant_reversed.wav,redskab_reversed.wav,61,5,0.7609100341796875,50701,1,2025-11-28_11-12-15,papir,58.956916,28.344671,50.680272,Male,Angry,"1,87"
179,AF23HAS.JPG,SILENCE,no-prime,babble_66.wav,himlen_reversed.wav,baby_reversed.wav,62,7,0.2902350425720215,50701,1,2025-11-28_11-12-15,SILENCE,,,,Female,Happy,"5,36"
56,AM21ANS.JPG,hage_compressed.wav,neutral,babble_67.wav,fiasko_reversed.wav,utro_reversed.wav,63,4,0.2791059017181396,50701,1,2025-11-28_11-12-15,hage,59.977324,37.528345,59.637188,Male,Angry,"2,69"
188,AM28NES.JPG,fængsel_compressed.wav,negative,babble_73.wav,himmel_reversed.wav,fængsel_reversed.wav,64,5,0.0563189983367919,50701,1,2025-11-28_11-12-15,fængsel,23.24263,64.62585,47.619048,Male,Neutral,"3,52"
146,AF22HAS.JPG,leder_compressed.wav,positive,babble_80.wav,kedel_reversed.wav,grimme_reversed.wav,65,7,0.3133089542388916,50701,1,2025-11-28_11-12-15,leder,86.507937,71.088435,89.342404,Female,Happy,"5,92"
194,AM06HAS.JPG,heldig_compressed.wav,positive,babble_72.wav,patent_reversed.wav,hånlig_reversed.wav,66,9,0.2830309867858886,50701,1,2025-11-28_11-12-15,heldig,92.630385,74.036281,68.594104,Male,Happy,"6,06"
190,AM01ANS.JPG,ønske_compressed.wav,positive,babble_9.wav,illoyal_reversed.wav,statue_reversed.wav,67,4,0.2644548416137695,50701,1,2025-11-28_11-12-15,ønske,87.188209,83.333333,73.582766,Male,Angry,"2,83"
176,AM02NES.JPG,viden_compressed.wav,positive,babble_49.wav,forpint_reversed.wav,hage_reversed.wav,68,4,1.078561782836914,50701,1,2025-11-28_11-12-15,viden,85.941043,67.120181,76.870748,Male,Neutral,"3,56"
135,AF10ANS.JPG,tortur_compressed.wav,negative,babble_90.wav,kæle_reversed.wav,passion_reversed.wav,69,2,0.4456679821014404,50701,1,2025-11-28_11-12-15,tortur,17.687075,69.160998,37.755102,Female,Angry,"2,26"
189,AF34ANS.JPG,udskud_compressed.wav,negative,babble_48.wav,skønhed_reversed.wav,trussel_reversed.wav,70,2,0.443580150604248,50701,1,2025-11-28_11-12-15,udskud,27.55102,55.328798,48.29932,Female,Angry,"3,12"
199,AM05HAS.JPG,enhed_compressed.wav,neutral,babble_37.wav,frygtsom_reversed.wav,jubel_reversed.wav,71,8,0.301199197769165,50701,1,2025-11-28_11-12-15,enhed,63.378685,42.517007,57.936508,Male,Happy,"5,97"
44,AF16NES.JPG,hader_compressed.wav,negative,babble_73.wav,fase_reversed.wav,kiste_reversed.wav,72,5,1.1374351978302002,50701,1,2025-11-28_11-12-15,hader,24.036281,78.798186,57.256236,Female,Neutral,"3,41"
155,AM26NES.JPG,taber_compressed.wav,negative,babble_75.wav,latter_reversed.wav,sejre_reversed.wav,73,5,0.7332539558410645,50701,1,2025-11-28_11-12-15,taber,25.510204,56.122449,34.240363,Male,Neutral,"3,74"
72,AM18NES.JPG,kærtegn_compressed.wav,positive,babble_55.wav,nedbrud_reversed.wav,varme_reversed.wav,74,5,0.3737759590148926,50701,1,2025-11-28_11-12-15,kærtegn,88.888889,58.276644,66.099773,Male,Neutral,"3,55"
54,AM01NES.JPG,tortur_compressed.wav,negative,babble_19.wav,sexet_reversed.wav,fedme_reversed.wav,75,5,0.4060189723968506,50701,1,2025-11-28_11-12-15,tortur,17.687075,69.160998,37.755102,Male,Neutral,"3,91"
89,AM03ANS.JPG,humor_compressed.wav,positive,babble_0.wav,nonne_reversed.wav,redskab_reversed.wav,76,4,0.3456950187683105,50701,1,2025-11-28_11-12-15,humor,97.052154,62.358277,68.93424,Male,Angry,"1,64"
69,AF31HAS.JPG,afskyr_compressed.wav,negative,babble_48.wav,væmmes_reversed.wav,vinde_reversed.wav,77,9,1.2501039505004885,50701,1,2025-11-28_11-12-15,afskyr,24.603175,68.707483,66.099773,Female,Happy,"5,60"
140,AM18HAS.JPG,forår_compressed.wav,positive,babble_67.wav,marked_reversed.wav,heldig_reversed.wav,78,8,0.4800341129302978,50701,1,2025-11-28_11-12-15,forår,87.981859,64.285714,70.975057,Male,Happy,"5,26"
3,AF24HAS.JPG,avis_compressed.wav,neutral,babble_69.wav,selvmord_reversed.wav,hage_reversed.wav,79,4,0.5429518222808838,50701,1,2025-11-28_11-12-15,avis,58.276644,45.918367,59.637188,Female,Happy,"6,18"
92,AF07NES.JPG,misbrug_compressed.wav,negative,babble_23.wav,slave_reversed.wav,sikker_reversed.wav,80,4,0.6801729202270508,50701,1,2025-11-28_11-12-15,misbrug,20.408163,77.437642,41.836735,Female,Neutral,"3,94"
149,AM02ANS.JPG,SILENCE,no-prime,babble_92.wav,gratis_reversed.wav,ledning_reversed.wav,81,3,0.2402820587158203,50701,1,2025-11-28_11-12-15,SILENCE,,,,Male,Angry,"2,44"
22,AF06HAS.JPG,banner_compressed.wav,neutral,babble_58.wav,forkert_reversed.wav,fedme_reversed.wav,82,3,1.0777058601379397,50701,1,2025-11-28_11-12-15,banner,61.22449,43.424036,54.421769,Female,Happy,"6,06"
55,AF17NES.JPG,SILENCE,no-prime,babble_45.wav,affald_reversed.wav,ankel_reversed.wav,83,5,0.9000699520111084,50701,1,2025-11-28_11-12-15,SILENCE,,,,Female,Neutral,"3,84"
103,AM04ANS.JPG,ønske_compressed.wav,positive,babble_41.wav,slave_reversed.wav,cirkel_reversed.wav,84,5,0.360724925994873,50701,1,2025-11-28_11-12-15,ønske,87.188209,83.333333,73.582766,Male,Angry,"2,44"
132,AM04NES.JPG,penge_compressed.wav,positive,babble_1.wav,hjerte_reversed.wav,blodig_reversed.wav,85,5,0.2566289901733398,50701,1,2025-11-28_11-12-15,penge,86.054422,64.62585,70.861678,Male,Neutral,"4,06"
15,AM30HAS.JPG,violin_compressed.wav,neutral,babble_21.wav,sollys_reversed.wav,skyldig_reversed.wav,86,6,0.3591840267181396,50701,1,2025-11-28_11-12-15,violin,61.564626,39.569161,58.730159,Male,Happy,"5,31"
39,AF04HAS.JPG,kiste_compressed.wav,negative,babble_70.wav,redning_reversed.wav,nonne_reversed.wav,87,8,0.2610161304473877,50701,1,2025-11-28_11-12-15,kiste,29.024943,57.029478,46.258503,Female,Happy,"5,56"
85,AM01HAS.JPG,natur_compressed.wav,positive,babble_87.wav,affald_reversed.wav,papir_reversed.wav,88,8,0.2993860244750976,50701,1,2025-11-28_11-12-15,natur,86.734694,49.546485,56.122449,Male,Happy,"5,64"
165,AF19ANS.JPG,poesi_compressed.wav,neutral,babble_54.wav,tumor_reversed.wav,sikker_reversed.wav,89,4,0.3677291870117187,50701,1,2025-11-28_11-12-15,poesi,66.439909,45.351474,60.204082,Female,Angry,"2,79"
101,AM32HAS.JPG,drukne_compressed.wav,negative,babble_45.wav,djævel_reversed.wav,accept_reversed.wav,90,9,0.324970006942749,50701,1,2025-11-28_11-12-15,drukne,21.768707,74.489796,32.426304,Male,Happy,"5,79"
154,AM28ANS.JPG,tumor_compressed.wav,negative,babble_36.wav,stjerne_reversed.wav,nonne_reversed.wav,91,3,0.3293218612670898,50701,1,2025-11-28_11-12-15,tumor,26.75737,73.809524,40.589569,Male,Angry,"2,21"
162,AF07ANS.JPG,ørken_compressed.wav,negative,babble_60.wav,kærtegn_reversed.wav,nedbrud_reversed.wav,92,4,1.2173008918762207,50701,1,2025-11-28_11-12-15,ørken,27.777778,62.358277,42.743764,Female,Angry,"2,44"
119,AM22ANS.JPG,ørken_compressed.wav,negative,babble_52.wav,blodig_reversed.wav,stjerne_reversed.wav,93,3,0.4495360851287842,50701,1,2025-11-28_11-12-15,ørken,27.777778,62.358277,42.743764,Male,Angry,"2,31"
105,AF28NES.JPG,kysse_compressed.wav,positive,babble_4.wav,bange_reversed.wav,poesi_reversed.wav,94,3,0.6667499542236328,50701,1,2025-11-28_11-12-15,kysse,93.650794,82.993197,78.571429,Female,Neutral,"3,81"
148,AF01ANS.JPG,SILENCE,no-prime,babble_50.wav,bygning_reversed.wav,fremskridt_reversed.wav,95,4,0.2883520126342773,50701,1,2025-11-28_11-12-15,SILENCE,,,,Female,Angry,"2,53"
180,AM19HAS.JPG,respekt_compressed.wav,positive,babble_20.wav,nøgle_reversed.wav,taber_reversed.wav,96,7,0.7617521286010742,50701,1,2025-11-28_11-12-15,respekt,86.621315,58.843537,78.117914,Male,Happy,"5,26"
151,AM24HAS.JPG,koldbrand_compressed.wav,negative,babble_45.wav,fremskridt_reversed.wav,morder_reversed.wav,97,8,0.4986300468444824,50701,1,2025-11-28_11-12-15,koldbrand,25.85034,64.62585,38.095238,Male,Happy,"5,77"
97,AF18HAS.JPG,banner_compressed.wav,neutral,babble_53.wav,ugle_reversed.wav,sindssyg_reversed.wav,98,8,0.1808397769927978,50701,1,2025-11-28_11-12-15,banner,61.22449,43.424036,54.421769,Female,Happy,"5,97"
33,AM15HAS.JPG,tønde_compressed.wav,neutral,babble_15.wav,natur_reversed.wav,venlig_reversed.wav,99,8,0.5269279479980469,50701,1,2025-11-28_11-12-15,tønde,57.256236,38.095238,55.442177,Male,Happy,"5,18"
177,AF19HAS.JPG,gaffel_compressed.wav,neutral,babble_13.wav,ankel_reversed.wav,genert_reversed.wav,100,9,1.0957369804382324,50701,1,2025-11-28_11-12-15,gaffel,59.977324,44.897959,65.079365,Female,Happy,"6,10"
28,AM07NES.JPG,ensom_compressed.wav,negative,babble_65.wav,humor_reversed.wav,museum_reversed.wav,101,5,1.1011250019073486,50701,1,2025-11-28_11-12-15,ensom,24.603175,51.133787,33.446712,Male,Neutral,"3,57"
153,AF29NES.JPG,syndig_compressed.wav,negative,babble_21.wav,utro_reversed.wav,sollys_reversed.wav,102,5,0.4860010147094726,50701,1,2025-11-28_11-12-15,syndig,33.219955,71.315193,48.072562,Female,Neutral,"3,83"
68,AM07HAS.JPG,skuffe_compressed.wav,negative,babble_11.wav,putte_reversed.wav,plakat_reversed.wav,103,9,0.9484999179840088,50701,1,2025-11-28_11-12-15,skuffe,27.097506,55.782313,37.301587,Male,Happy,"6,03"
40,AM13NES.JPG,SILENCE,no-prime,babble_8.wav,ketchup_reversed.wav,utro_reversed.wav,104,5,0.4631669521331787,50701,1,2025-11-28_11-12-15,SILENCE,,,,Male,Neutral,"4,03"
98,AM14HAS.JPG,baby_compressed.wav,positive,babble_24.wav,fedme_reversed.wav,lampe_reversed.wav,105,7,0.8182239532470703,50701,1,2025-11-28_11-12-15,baby,93.197279,62.698413,56.689342,Male,Happy,"5,03"
125,AM35NES.JPG,SILENCE,no-prime,babble_67.wav,kujon_reversed.wav,oprørt_reversed.wav,106,5,0.3323791027069092,50701,1,2025-11-28_11-12-15,SILENCE,,,,Male,Neutral,"3,95"
35,AM24ANS.JPG,grimme_compressed.wav,negative,babble_42.wav,blomstre_reversed.wav,ønske_reversed.wav,107,3,0.3444910049438476,50701,1,2025-11-28_11-12-15,grimme,27.55102,60.997732,48.29932,Male,Angry,"2,64"
45,AF20HAS.JPG,himlen_compressed.wav,positive,babble_24.wav,marked_reversed.wav,kiste_reversed.wav,108,8,0.6695971488952637,50701,1,2025-11-28_11-12-15,himlen,82.76644,63.605442,69.727891,Female,Happy,"5,69"
76,AM12NES.JPG,beundret_compressed.wav,positive,babble_2.wav,taxa_reversed.wav,måned_reversed.wav,109,4,0.3231439590454101,50701,1,2025-11-28_11-12-15,beundret,87.755102,69.274376,85.37415,Male,Neutral,"3,87"
160,AM08HAS.JPG,stjerne_compressed.wav,positive,babble_25.wav,djævel_reversed.wav,taber_reversed.wav,110,8,0.311568021774292,50701,1,2025-11-28_11-12-15,stjerne,82.426304,66.099773,53.061224,Male,Happy,"5,86"
